Bag ID,Depth,Section,Sample ID,Replicate,Time Retrieved,Date retrieved,% Remaining,Week
18,0,S7,4,18,18,11/16/2022,0,28
19,0,S3,4,19,19,11/29/2022,0,30
20,0,S1,4,20,20,12/13/2022,0,32
21,0,S8,4,21,21,12/19/2022,0,33
22,0,S2,4,22,NA,NA,NA,
23,0,S7,4,23,NA,NA,NA,
24,0,S6,4,24,NA,NA,NA,
0,0,0,5,0,0,4/26/2022,100,0
1,0,S4,5,1,1,5/10/2022,100,1
2,0,S4,5,2,2,5/17/2022,0,2
3,0,S8,5,3,3,5/23/2022,0,3
4,0,S2,5,4,4,5/31/2022,0,4
5,0,S4,5,5,5,6/7/2022,0,5
6,0,S2,5,6,6,6/15/2022,0,6
7,0,S4,5,7,7,6/22/2022,0,7
8,0,S9,5,8,8,6/28/2022,0,8
9,0,S7,5,9,9,7/12/2022,0,10
10,0,S8,5,10,10,7/26/2022,0,12
11,0,S8,5,11,11,8/9/2022,0,14
12,0,S4,5,12,12,8/23/2022,0,16
13,0,S9,5,13,13,9/6/2022,0,18
14,0,S8,5,14,14,9/27/2022,0,21
15,0,S9,5,15,15,10/4/2022,0,22
16,0,S1,5,16,16,10/18/2022,0,24
17,0,S7,5,17,17,11/1/2022,0,26
18,0,S6,5,18,18,11/16/2022,0,28
19,0,S6,5,19,19,11/29/2022,0,30
20,0,S6,5,20,20,12/13/2022,0,32
21,0,S7,5,21,21,12/19/2022,0,33
22,0,S6,5,22,NA,NA,NA,
23,0,S1,5,23,NA,NA,NA,
24,0,S2,5,24,NA,NA,NA,
0,0,0,6,0,0,4/26/2022,100,0
1,0,S7,6,1,1,5/10/2022,100,1
2,0,S2,6,2,2,5/17/2022,0,2
3,0,S3,6,3,3,5/23/2022,0,3
4,0,S7,6,4,4,5/31/2022,0,4
5,0,S10,6,5,5,6/7/2022,0,5
6,0,S1,6,6,6,6/15/2022,0,6
7,0,S3,6,7,7,6/22/2022,0,7
8,0,S4,6,8,8,6/28/2022,0,8
9,0,S2,6,9,9,7/12/2022,0,10
10,0,S9,6,10,10,7/26/2022,0,12
11,0,S9,6,11,11,8/9/2022,0,14
12,0,S1,6,12,12,8/23/2022,0,16
13,0,S6,6,13,13,9/6/2022,0,18
14,0,S4,6,14,14,9/27/2022,0,21
15,0,S3,6,15,15,10/4/2022,0,22
16,0,S5,6,16,16,10/18/2022,0,24
17,0,S5,6,17,17,11/1/2022,0,26
18,0,S5,6,18,18,11/16/2022,0,28
19,0,S8,6,19,19,11/29/2022,0,30
20,0,S4,6,20,20,12/13/2022,0,32
21,0,S4,6,21,21,12/19/2022,0,33
22,0,S10,6,22,NA,NA,NA,
23,0,S4,6,23,NA,NA,NA,
24,0,S3,6,24,NA,NA,NA,
0,0,0,7,0,0,4/26/2022,100,0
1,0,S6,7,1,1,5/10/2022,100,1
2,0,S8,7,2,2,5/17/2022,100,2
3,0,S4,7,3,3,5/23/2022,100,3
4,0,S4,7,4,4,5/31/2022,100,4
5,0,S3,7,5,5,6/7/2022,100,5
6,0,S9,7,6,6,6/15/2022,100,6
7,0,S1,7,7,7,6/22/2022,100,7
8,0,S6,7,8,8,6/28/2022,100,8
9,0,S8,7,9,9,7/12/2022,2,10
10,0,S1,7,10,10,7/26/2022,0,12
11,0,S2,7,11,11,8/9/2022,0,14
12,0,S3,7,12,12,8/23/2022,0,16
13,0,S7,7,13,13,9/6/2022,0,18
14,0,S1,7,14,14,9/27/2022,0,21
15,0,S2,7,15,15,10/4/2022,0,22
16,0,S8,7,16,16,10/18/2022,0,24
17,0,S6,7,17,17,11/1/2022,0,26
18,0,S8,7,18,18,11/16/2022,0,28
19,0,S9,7,19,19,11/29/2022,0,30
20,0,S8,7,20,20,12/13/2022,0,32
21,0,S10,7,21,21,12/19/2022,0,33
22,0,S3,7,22,NA,NA,NA,
23,0,S3,7,23,NA,NA,NA,
24,0,S5,7,24,NA,NA,NA,
0,0,0,8,0,0,4/26/2022,100,0
1,0,S5,8,1,1,5/10/2022,45,1
2,0,S6,8,2,2,5/17/2022,0,2
3,0,S10,8,3,3,5/23/2022,0,3
4,0,S3,8,4,4,5/31/2022,0,4
5,0,S1,8,5,5,6/7/2022,0,5
6,0,S10,8,6,6,6/15/2022,0,6
7,0,S7,8,7,7,6/22/2022,0,7
8,0,S1,8,8,8,6/28/2022,0,8
9,0,S5,8,9,9,7/12/2022,0,10
10,0,S6,8,10,10,7/26/2022,0,12
11,0,S7,8,11,11,8/9/2022,0,14
12,0,S2,8,12,12,8/23/2022,0,16
13,0,S10,8,13,13,9/6/2022,0,18
14,0,S9,8,14,14,9/27/2022,0,21
15,0,S6,8,15,15,10/4/2022,0,22
16,0,S4,8,16,16,10/18/2022,0,24
17,0,S8,8,17,17,11/1/2022,0,26
18,0,S10,8,18,18,11/16/2022,0,28
19,0,S5,8,19,19,11/29/2022,0,30
20,0,S9,8,20,20,12/13/2022,0,32
21,0,S6,8,21,21,12/19/2022,0,33
22,0,S5,8,22,NA,NA,NA,
23,0,S5,8,23,NA,NA,NA,
24,0,S10,8,24,NA,NA,NA,
0,0,0,N,0,0,4/26/2022,100,0
1,0,S2,N,1,1,5/10/2022,100,1
2,0,S9,N,2,2,5/17/2022,100,2
3,0,S9,N,3,3,5/23/2022,100,3
4,0,S9,N,4,4,5/31/2022,100,4
5,0,S6,N,5,5,6/7/2022,100,5
6,0,S5,N,6,6,6/15/2022,100,6
7,0,S10,N,7,7,6/22/2022,100,7
8,0,S3,N,8,8,6/28/2022,100,8
9,0,S6,N,9,9,7/12/2022,100,10
10,0,S10,N,10,10,7/26/2022,100,12
11,0,S1,N,11,11,8/9/2022,100,14
12,0,S9,N,12,12,8/23/2022,100,16
13,0,S8,N,13,13,9/6/2022,100,18
14,0,S6,N,14,14,9/27/2022,100,21
15,0,S8,N,15,15,10/4/2022,100,22
16,0,S10,N,16,16,10/18/2022,100,24
17,0,S2,N,17,17,11/1/2022,100,26
18,0,S4,N,18,18,11/16/2022,100,28
19,0,S4,N,19,19,11/29/2022,100,30
20,0,S3,N,20,20,12/13/2022,100,32
21,0,S9,N,21,21,12/19/2022,100,33
22,0,S4,N,22,NA,NA,NA,
23,0,S8,N,23,NA,NA,NA,
24,0,S4,N,24,NA,NA,NA,
0,0,0,P,0,0,4/26/2022,100,0
1,0,S9,P,1,1,5/10/2022,100,1
2,0,S3,P,2,2,5/17/2022,100,2
3,0,S2,P,3,3,5/23/2022,10,3
4,0,S1,P,4,4,5/31/2022,0,4
5,0,S8,P,5,5,6/7/2022,0,5
6,0,S3,P,6,6,6/15/2022,5,6
7,0,S2,P,7,7,6/22/2022,0,7
8,0,S8,P,8,8,6/28/2022,0,8
9,0,S4,P,9,9,7/12/2022,0,10
10,0,S4,P,10,10,7/26/2022,0,12
11,0,S6,P,11,11,8/9/2022,0,14
12,0,S7,P,12,12,8/23/2022,0,16
13,0,S3,P,13,13,9/6/2022,0,18
14,0,S10,P,14,14,9/27/2022,0,21
15,0,S1,P,15,15,10/4/2022,0,22
16,0,S2,P,16,16,10/18/2022,0,24
17,0,S4,P,17,17,11/1/2022,0,26
18,0,S1,P,18,18,11/16/2022,0,28
19,0,S2,P,19,19,11/29/2022,0,30
20,0,S5,P,20,20,12/13/2022,0,32
21,0,S3,P,21,21,12/19/2022,0,33
22,0,S1,P,22,NA,NA,NA,
23,0,S6,P,23,NA,NA,NA,
24,0,S1,P,24,NA,NA,NA,
0,10,0,1,0,0,4/26/2022,100,0
1,10,S3,1,1,1,5/10/2022,100,1
2,10,S2,1,2,2,5/17/2022,0,2
3,10,S2,1,3,3,5/23/2022,0,3
14,10,S8,1,14,4,5/31/2022,0,4
5,10,S4,1,5,5,6/7/2022,0,5
6,10,S1,1,6,6,6/15/2022,0,6
7,10,S1,1,7,7,6/22/2022,0,7
8,10,S10,1,8,8,6/28/2022,0,8
9,10,S10,1,9,9,7/12/2022,0,10
10,10,S7,1,10,10,7/26/2022,0,12
11,10,S6,1,11,11,8/9/2022,0,14
12,10,S7,1,12,12,8/23/2022,0,16
13,10,S7,1,13,13,9/6/2022,0,18
4,10,S5,1,4,14,9/27/2022,0,21
15,10,S7,1,15,15,10/4/2022,0,22
16,10,S5,1,16,16,10/18/2022,0,24
17,10,S6,1,17,17,11/1/2022,0,26
18,10,S3,1,18,18,11/16/2022,0,28
19,10,S3,1,19,19,11/29/2022,0,30
20,10,S1,1,20,20,12/13/2022,0,32
21,10,S6,1,21,21,12/19/2022,0,33
22,10,S8,1,22,NA,NA,NA,
23,10,S2,1,23,NA,NA,NA,
24,10,S4,1,24,NA,NA,NA,
0,10,0,2,0,0,4/26/2022,100,0
1,10,S10,2,1,1,5/10/2022,100,1
2,10,S1,2,2,2,5/17/2022,100,2
3,10,S6,2,3,3,5/23/2022,100,3
14,10,S5,2,14,4,5/31/2022,100,4
5,10,S2,2,5,5,6/7/2022,100,5
6,10,S5,2,6,6,6/15/2022,100,6
7,10,S4,2,7,7,6/22/2022,100,7
8,10,S3,2,8,8,6/28/2022,100,8
9,10,S1,2,9,9,7/12/2022,100,10
10,10,S4,2,10,10,7/26/2022,100,12
11,10,S5,2,11,11,8/9/2022,100,14
12,10,S9,2,12,12,8/23/2022,100,16
13,10,S3,2,13,13,9/6/2022,100,18
4,10,S4,2,4,14,9/27/2022,100,21
15,10,S4,2,15,15,10/4/2022,100,22
16,10,S2,2,16,16,10/18/2022,100,24
17,10,S9,2,17,17,11/1/2022,100,26
18,10,S2,2,18,18,11/16/2022,100,28
19,10,S2,2,19,19,11/29/2022,100,30
20,10,S7,2,20,20,12/13/2022,100,32
21,10,S4,2,21,21,12/19/2022,100,33
22,10,S3,2,22,NA,NA,NA,
23,10,S5,2,23,NA,NA,NA,
24,10,S9,2,24,NA,NA,NA,
0,10,0,3,0,0,4/26/2022,100,0
1,10,S1,3,1,1,5/10/2022,100,1
2,10,S9,3,2,2,5/17/2022,5,2
3,10,S4,3,3,3,5/23/2022,0,3
14,10,S9,3,14,4,5/31/2022,0,4
5,10,S6,3,5,5,6/7/2022,0,5
6,10,S3,3,6,6,6/15/2022,0,6
7,10,S2,3,7,7,6/22/2022,0,7
8,10,S8,3,8,8,6/28/2022,0,8
9,10,S3,3,9,9,7/12/2022,0,10
10,10,S5,3,10,10,7/26/2022,0,12
11,10,S4,3,11,11,8/9/2022,0,14
12,10,S8,3,12,12,8/23/2022,0,16
13,10,S8,3,13,13,9/6/2022,0,18
4,10,S8,3,4,14,9/27/2022,0,21
15,10,S5,3,15,15,10/4/2022,0,22
16,10,S1,3,16,16,10/18/2022,0,24
17,10,S5,3,17,17,11/1/2022,0,26
18,10,S6,3,18,18,11/16/2022,0,28
19,10,S10,3,19,19,11/29/2022,0,30
20,10,S10,3,20,20,12/13/2022,0,32
21,10,S9,3,21,21,12/19/2022,0,33
22,10,S9,3,22,NA,NA,NA,
23,10,S7,3,23,NA,NA,NA,
24,10,S6,3,24,NA,NA,NA,
0,10,0,4,0,0,4/26/2022,100,0
1,10,S2,4,1,1,5/10/2022,100,1
2,10,S4,4,2,2,5/17/2022,100,2
3,10,S10,4,3,3,5/23/2022,5,3
14,10,S3,4,14,4,5/31/2022,0,4
5,10,S5,4,5,5,6/7/2022,0,5
6,10,S9,4,6,6,6/15/2022,0,6
7,10,S5,4,25,7,6/22/2022,0,7
8,10,S7,4,8,8,6/28/2022,0,8
9,10,S5,4,9,9,7/12/2022,0,10
10,10,S2,4,10,10,7/26/2022,0,12
11,10,S1,4,11,11,8/9/2022,0,14
12,10,S2,4,12,12,8/23/2022,0,16
13,10,S10,4,13,13,9/6/2022,0,18
4,10,S10,4,4,14,9/27/2022,0,21
15,10,S8,4,15,15,10/4/2022,0,22
16,10,S4,4,16,16,10/18/2022,0,24
17,10,S7,4,17,17,11/1/2022,0,26
18,10,S9,4,18,18,11/16/2022,0,28
19,10,S8,4,19,19,11/29/2022,0,30
20,10,S3,4,20,20,12/13/2022,0,32
21,10,S8,4,21,21,12/19/2022,0,33
22,10,S1,4,22,NA,NA,NA,
23,10,S1,4,23,NA,NA,NA,
24,10,S8,4,24,NA,NA,NA,
0,10,0,5,0,0,4/26/2022,100,0
1,10,S8,5,1,1,5/10/2022,100,1
2,10,S3,5,2,2,5/17/2022,0,2
3,10,S5,5,3,3,5/23/2022,0,3
14,10,S6,5,14,4,5/31/2022,0,4
5,10,S9,5,5,5,6/7/2022,0,5
6,10,S4,5,6,6,6/15/2022,0,6
7,10,S7,5,7,7,6/22/2022,0,7
8,10,S4,5,8,8,6/28/2022,0,8
9,10,S6,5,9,9,7/12/2022,0,10
10,10,S8,5,10,10,7/26/2022,0,12
11,10,S3,5,11,11,8/9/2022,0,14
12,10,S6,5,12,12,8/23/2022,0,16
13,10,S2,5,13,13,9/6/2022,0,18
4,10,S7,5,4,14,9/27/2022,0,21
15,10,S10,5,15,15,10/4/2022,0,22
16,10,S6,5,16,16,10/18/2022,0,24
17,10,S10,5,17,17,11/1/2022,0,26
18,10,S1,5,18,18,11/16/2022,0,28
19,10,S5,5,19,19,11/29/2022,0,30
20,10,S5,5,20,20,12/13/2022,0,32
21,10,S10,5,21,21,12/19/2022,0,33
22,10,S4,5,22,NA,NA,NA,
23,10,S10,5,23,NA,NA,NA,
24,10,S3,5,24,NA,NA,NA,
0,10,0,6,0,0,4/26/2022,100,0
1,10,S9,6,1,1,5/10/2022,100,1
2,10,S6,6,2,2,5/17/2022,100,2
3,10,S1,6,3,3,5/23/2022,0,3
14,10,S4,6,14,4,5/31/2022,0,4
5,10,S8,6,5,5,6/7/2022,0,5
6,10,S8,6,6,6,6/15/2022,0,6
7,10,S10,6,7,7,6/22/2022,0,7
8,10,S5,6,8,8,6/28/2022,0,8
9,10,S8,6,9,9,7/12/2022,0,10
10,10,S10,6,10,10,7/26/2022,0,12
11,10,S9,6,11,11,8/9/2022,0,14
12,10,S10,6,12,12,8/23/2022,0,16
13,10,S4,6,13,13,9/6/2022,0,18
4,10,S3,6,4,14,9/27/2022,0,21
15,10,S6,6,15,15,10/4/2022,0,22
16,10,S3,6,16,16,10/18/2022,0,24
17,10,S8,6,17,17,11/1/2022,0,26
18,10,S8,6,18,18,11/16/2022,0,28
19,10,S9,6,19,19,11/29/2022,0,30
20,10,S2,6,20,20,12/13/2022,0,32
21,10,S5,6,21,21,12/19/2022,0,33
22,10,S10,6,22,NA,NA,NA,
23,10,S4,6,23,NA,NA,NA,
24,10,S5,6,24,NA,NA,NA,
0,10,0,7,0,0,4/26/2022,100,0
1,10,S6,7,1,1,5/10/2022,100,1
2,10,S8,7,2,2,5/17/2022,100,2
3,10,S3,7,3,3,5/23/2022,100,3
14,10,S1,7,14,4,5/31/2022,100,4
5,10,S3,7,5,5,6/7/2022,100,5
6,10,S2,7,6,6,6/15/2022,100,6
7,10,S6,7,7,7,6/22/2022,100,7
8,10,S2,7,8,8,6/28/2022,100,8
9,10,S7,7,9,9,7/12/2022,100,10
10,10,S3,7,10,10,7/26/2022,20,12
11,10,S7,7,11,11,8/9/2022,0,14
12,10,S1,7,12,12,8/23/2022,0,16
13,10,S5,7,13,13,9/6/2022,0,18
4,10,S2,7,4,14,9/27/2022,2,21
15,10,S9,7,15,15,10/4/2022,0,22
16,10,S8,7,16,16,10/18/2022,0,24
17,10,S2,7,17,17,11/1/2022,0,26
18,10,S4,7,18,18,11/16/2022,0,28
19,10,S4,7,19,19,11/29/2022,0,30
20,10,S6,7,20,20,12/13/2022,0,32
21,10,S2,7,21,21,12/19/2022,0,33
22,10,S7,7,22,NA,NA,NA,
23,10,S8,7,23,NA,NA,NA,
24,10,S10,7,24,NA,NA,NA,
0,10,0,8,0,0,4/26/2022,100,0
1,10,S5,8,1,1,5/10/2022,5,1
2,10,S10,8,2,2,5/17/2022,0,2
3,10,S8,8,3,3,5/23/2022,0,3
14,10,S10,8,14,4,5/31/2022,0,4
5,10,S7,8,5,5,6/7/2022,0,5
6,10,S6,8,6,6,6/15/2022,0,6
7,10,S9,8,7,7,6/22/2022,0,7
8,10,S6,8,8,8,6/28/2022,0,8
9,10,S4,8,9,9,7/12/2022,0,10
10,10,S6,8,10,10,7/26/2022,0,12
11,10,S10,8,11,11,8/9/2022,0,14
12,10,S5,8,12,12,8/23/2022,0,16
13,10,S9,8,13,13,9/6/2022,0,18
4,10,S9,8,4,14,9/27/2022,0,21
15,10,S1,8,15,15,10/4/2022,0,22
16,10,S7,8,16,16,10/18/2022,0,24
17,10,S4,8,17,17,11/1/2022,0,26
18,10,S7,8,18,18,11/16/2022,0,28
19,10,S7,8,19,19,11/29/2022,0,30
20,10,S9,8,20,20,12/13/2022,0,32
21,10,S7,8,21,21,12/19/2022,0,33
22,10,S5,8,22,NA,NA,NA,
23,10,S9,8,23,NA,NA,NA,
24,10,S1,8,24,NA,NA,NA,
0,10,0,N,0,0,4/26/2022,100,0
1,10,S4,N,2,1,5/10/2022,100,1
2,10,S5,N,1,2,5/17/2022,100,2
3,10,S9,N,3,3,5/23/2022,100,3
14,10,S2,N,14,4,5/31/2022,100,4
5,10,S1,N,5,5,6/7/2022,100,5
6,10,S7,N,6,6,6/15/2022,100,6
7,10,S8,N,7,7,6/22/2022,100,7
8,10,S9,N,8,8,6/28/2022,100,8
9,10,S2,N,9,9,7/12/2022,100,10
10,10,S9,N,10,10,7/26/2022,100,12
11,10,S8,N,11,11,8/9/2022,100,14
12,10,S4,N,12,12,8/23/2022,100,16
13,10,S6,N,13,13,9/6/2022,100,18
4,10,S1,N,4,14,9/27/2022,100,21
15,10,S3,N,15,15,10/4/2022,100,22
16,10,S9,N,16,16,10/18/2022,100,24
17,10,S1,N,17,17,11/1/2022,100,26
18,10,S10,N,18,18,11/16/2022,100,28
19,10,S1,N,19,19,11/29/2022,100,30
20,10,S4,N,20,20,12/13/2022,100,32
21,10,S1,N,21,21,12/19/2022,100,33
22,10,S6,N,22,NA,NA,NA,
23,10,S6,N,23,NA,NA,NA,
24,10,S2,N,24,NA,NA,NA,
0,10,0,P,0,0,4/26/2022,100,0
1,10,S7,P,1,1,5/10/2022,100,1
2,10,S7,P,2,2,5/17/2022,100,2
3,10,S7,P,3,3,5/23/2022,10,3
14,10,S7,P,14,4,5/31/2022,5,4
5,10,S10,P,5,5,6/7/2022,10,5
6,10,S10,P,6,6,6/15/2022,1,6
7,10,S3,P,7,7,6/22/2022,5,7
8,10,S1,P,8,8,6/28/2022,0,8
9,10,S9,P,9,9,7/12/2022,1,10
10,10,S1,P,10,10,7/26/2022,0,12
11,10,S2,P,11,11,8/9/2022,0,14
12,10,S3,P,12,12,8/23/2022,0,16
13,10,S1,P,13,13,9/6/2022,0,18
4,10,S6,P,4,14,9/27/2022,0,21
15,10,S2,P,15,15,10/4/2022,0,22
16,10,S10,P,16,16,10/18/2022,0,24
17,10,S3,P,17,17,11/1/2022,0,26
18,10,S5,P,18,18,11/16/2022,0,28
19,10,S6,P,19,19,11/29/2022,0,30
20,10,S8,P,20,20,12/13/2022,0,32
21,10,S3,P,21,21,12/19/2022,0,33
22,10,S2,P,22,NA,NA,NA,
23,10,S3,P,23,NA,NA,NA,
24,10,S7,P,24,NA,NA,NA,
